AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,ScrapingError,Developers,IsFullyProcessed,Publishers,ReleaseInfo
1845250,Rubinite,18126,"Action, Indie, RPG","Single-player, Full controller support, Family Sharing","Indie, Role-playing (RPG)","Action, Fantasy",female protagonist,True,Rubinite,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=WlKHtBKE_x0,8119,397,,"Cup Dog Games, GameWorks Ventures",True,Cup Dog Games,"{'original_release_date': 'Jul 23, 2026', 'original_platforms': ['Mac', 'PC (Microsoft Windows)'], 'ports': []}"
1897450,U-Boot: The Board Game - Digital Edition,1385,"Indie, Simulation, Strategy","Single-player, Family Sharing","Card & Board Game, Indie, Simulator, Strategy",,"free demo, nextfest june 2025",True,U-Boot: The Board Game - Digital Edition,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=N1LfWsK-KxU,1756,40,,"G11 S.A., OUT OF THE ORDINARY",True,"G11 S.A., PlayWay S.A.","{'original_release_date': 'Q1 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1936310,Sugoi Adventure! DragonSlayer,1928,"Adventure, RPG, Simulation","Single-player, Steam Achievements, Family Sharing","Adventure, Role-playing (RPG), Simulator",,,True,Sugoi Adventure! DragonSlayer,June 2026,2026-06-30T00:00:00,,0,0,,Nupu Neko Dev,True,Nupu Neko Dev,"{'original_release_date': 'May 2026', 'original_platforms': ['Linux', 'Mac', 'PC (Microsoft Windows)'], 'ports': []}"
1996090,Vapor World: Over The Mind,5311,"Action, Adventure, Indie, RPG, Free To Play, Early Access","Single-player, Steam Achievements, Full controller support, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Family Sharing","Adventure, Indie, Role-playing (RPG)","Action, Sandbox",,True,Vapor World: Over The Mind,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=DKiYb-e6Jqs,15156,130,,ALIVE Inc.,True,"ALIVE Inc., Boltray Games","{'original_release_date': 'Jun 2026', 'original_platforms': ['Nintendo Switch', 'PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}"
2201470,Remnant Protocol,5228,"Action, Indie, Simulation, Strategy, Early Access","Single-player, Full controller support, Tracked Controller Support, VR Supported, Family Sharing","Indie, Simulator, Strategy",Action,vr experience,True,Remnant Protocol,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=63jWHXnFFXE,21714,75,,Progenitor Game Studios Ltd.,True,Progenitor Game Studios Ltd.,"{'original_release_date': 'Mar 2026', 'original_platforms': ['PC (Microsoft Windows)', 'SteamVR'], 'ports': []}"
2223980,Nomad Drive,4247,"Adventure, Casual, Indie, Simulation, Free To Play, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Camera Comfort, Custom Volume Controls, Keyboard Only Option, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Remote Play Together, Family Sharing","Adventure, Indie, Simulator",Action,,True,Nomad Drive,Q2 2026,2026-06-30T00:00:00,,0,0,,Indie Devil,True,Indie Devil,"{'original_release_date': 'Q2 2026', 'original_platforms': ['Linux', 'PC (Microsoft Windows)'], 'ports': []}"
2251220,High Times - Dating/Cooking Sim,1703,"Casual, Indie, Simulation","Single-player, Custom Volume Controls, Stereo Sound, Subtitle Options, Partial Controller Support, Family Sharing","Indie, Role-playing (RPG), Simulator",,,True,High Times - Dating/Cooking Sim,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=R4ESreocbf4,3848,82,,Yangyang Mobile,True,Yangyang Mobile,"{'original_release_date': 'Jul 23, 2026', 'original_platforms': ['Mac', 'PC (Microsoft Windows)'], 'ports': []}"
2304360,Mainland,2544,"Action, Indie, Massively Multiplayer, RPG, Simulation, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Family Sharing","Indie, Role-playing (RPG), Simulator, Strategy",Action,,True,Mainland,Q2 2026,2026-06-30T00:00:00,,0,0,,AddRaiser,True,AddRaiser,"{'original_release_date': 'Q2 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2378230,Neo Junk City,3513,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Custom Volume Controls, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Family Sharing","Adventure, Indie, Point-and-click, Role-playing (RPG)","Action, Science fiction","androids, cyberpunk, detective, nextfest february 2025, pixel art",True,Neo Junk City,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=aM4X9gegrDI,8207,170,,Starblade Games,True,Starblade Games,"{'original_release_date': 'Q3 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2387670,As One We Survive,15742,"Action, Simulation, Early Access","Single-player, Family Sharing","Shooter, Simulator","Action, Open world, Survival","3d, base building, colony simulator, combat, crafting, immersive sim, open world survival craft, post-apocalyptic, simulation, stylized, top down shooter",True,,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=WPG10MCvyZk,14928,541,,Revelation Games LLC,True,Revelation Games LLC,"{'original_release_date': 'Q2 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
