AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,Developers,IsFullyProcessed,Publishers,ReleaseInfo
2305640,Bladesong,10927,"Indie, RPG, Simulation, Early Access","Single-player, Adjustable Text Size, Custom Volume Controls, Playable without Timed Input, Save Anytime, Family Sharing","Indie, Role-playing (RPG), Simulator","Business, Fantasy","blacksmith, crafting, modding support, sword",TRUE,Bladesong,22-Jan-26,2026-01-22T00:00:00,https://www.youtube.com/watch?v=2Db4kqsVWF4,2348,112,SUN AND SERPENT creations,TRUE,Mythwright,{}
2421360,??????100?????,2298,"Action, Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing",Shooter,"Action, Comedy, Fantasy","aftermarket release, backwards compatibility, digital distribution, fairy, fan translation - toki pona, magic, playstation network, playstation tv support, psone classics, shoot 'em up, witches",FALSE,在赛博世界和100个道侣修仙,7-Jan-26,2026-01-07T00:00:00,https://www.youtube.com/watch?v=66zudGtDHO0,752,11,雙峰狂詩曲,TRUE,雙峰狂詩曲,"{'original_release_date': 'Apr 22, 1994', 'original_platforms': ['Super Famicom'], 'ports': [{'platform': 'PlayStation', 'release_date': 'Mar 30, 2000'}, {'platform': 'PlayStation 3', 'release_date': 'Nov 10, 2010'}, {'platform': 'PlayStation Portable', 'release_date': 'Nov 10, 2010'}, {'platform': 'PlayStation 3', 'release_date': 'Feb 02, 2011'}, {'platform': 'PlayStation Portable', 'release_date': 'Feb 02, 2011'}, {'platform': 'Super Nintendo Entertainment System', 'release_date': 'Oct 29, 2021'}]}"
2428800,Nom Nom: Cozy Forest Café,1939,"Casual, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Custom Volume Controls, Adjustable Difficulty, Steam Cloud, Stats, Remote Play on TV, Family Sharing",,,,TRUE,Nom Nom: Cozy Forest Café,12-Jan-26,2026-01-12T00:00:00,,0,0,Anaïs Salla,TRUE,Anaïs Salla,{}
2586440,House 2,1171,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing","Adventure, Indie",Action,,TRUE,House 2,Jan-26,2026-01-31T00:00:00,https://www.youtube.com/watch?v=sUjAz75S4vI,40868,1646,Bark Bark Games,TRUE,Glowstick Entertainment,{}
2591150,Philna Fantasy,2676,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, Role-playing (RPG)",Action,nextfest october 2025,TRUE,Philna Fantasy,14-Jan-26,2026-01-14T00:00:00,,0,0,Sailike Game,TRUE,Anotherindie,"{'original_release_date': 'Jan 15, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2610650,"Don't Stop, Girlypop!",5173,"Action, Adventure","Single-player, Family Sharing","Adventure, Indie, Shooter",Action,,TRUE,"Don't Stop, Girlypop!",29-Jan-26,2026-01-29T00:00:00,https://www.youtube.com/watch?v=jTc70zDf8SM,18614,404,Funny Fintan Softworks,TRUE,Kwalee,"{'original_release_date': 'Jan 29, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2612690,Roots Devour,2452,"Adventure, Indie, Strategy","Single-player, Steam Cloud, Family Sharing","Adventure, Card & Board Game, Indie, Strategy","Fantasy, Horror",lovecraftian,TRUE,Roots Devour,27-Jan-26,2026-01-27T00:00:00,https://www.youtube.com/watch?v=fIzDEwlsWNM,3625,165,Rewinding Games,TRUE,GCORES PUBLISHING,"{'original_release_date': '2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2646320,?????,7464,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",,,,FALSE,息风谷战略,15-Jan-26,2026-01-15T00:00:00,,0,0,Xia Start,TRUE,Xia Start,{}
2678830,Halcyon Days at Taoyuan,1311,"Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Indie, Role-playing (RPG), Simulator",,nextfest june 2025,TRUE,Halcyon Days at Taoyuan,20-Jan-26,2026-01-20T00:00:00,,0,0,BotanX,TRUE,方块游戏(CubeGame),"{'original_release_date': 'Jan 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2797960,Confidential Killings - A Detective Game,1436,"Adventure, Indie","Single-player, Steam Achievements, Family Sharing",,,,FALSE,Confidential Killings,12-Jan-26,2026-01-12T00:00:00,,0,0,"BRANE, Lorenzo Boni",TRUE,Surefire.Games,{}
2832280,Blightstone,5374,"Adventure, Indie, RPG, Strategy, Early Access","Single-player, Family Sharing","Adventure, Indie, Role-playing (RPG), Strategy",Fantasy,"dark fantasy, roguelike, steam achievements",TRUE,Blightstone,20-Jan-26,2026-01-20T00:00:00,https://www.youtube.com/watch?v=VCXUYaFESuk,5046,113,Unfinished Pixel,TRUE,"Unfinished Pixel, Kepler Ghost","{'original_release_date': 'Jan 20, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2842800,????,1542,"Adventure, Indie, Strategy","Single-player, Steam Cloud, Family Sharing",,,,FALSE,尸姬之梦,11-Jan-26,2026-01-11T00:00:00,,0,0,HT3 Studio,TRUE,INDIECN,{}
2896260,ODDCORE,1955,"Action, Indie, Early Access","Single-player, Steam Achievements, Full controller support, Camera Comfort, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing","Arcade, Indie, Platform, Shooter",Action,"3d platformer, action roguelike, arena shooter, backrooms, fast paced, leaderboard, liminal space, movement shooter, nextfest june 2025, steam achievements, the backrooms",TRUE,ODDCORE,7-Jan-26,2026-01-07T00:00:00,https://www.youtube.com/watch?v=px81XZgDFg8,147,9,ODDCORP,TRUE,Scarecrow Arts,"{'original_release_date': 'Jan 07, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2913610,"What Awaits, Aleksey?",1158,Indie,"Single-player, Steam Achievements, Captions available, Family Sharing","Adventure, Indie, Point-and-click, Puzzle",,,TRUE,"What Awaits, Aleksey?",Jan-26,2026-01-31T00:00:00,https://www.youtube.com/watch?v=YzXdYWcnMeM,57,1,JKBC,TRUE,JKBC,{}
